curso;unidade
BACHARELADO EM INTELIGÊNCIA ARTIFICIAL;INSTITUTO METROPOLE DIGITAL
BACHARELADO INTERDISCIPLINAR EM HUMANIDADES;INSTITUTO HUMANITAS DE ESTUDOS INTEGRADOS
BASES FISIOLÓGICAS PARA AVALIAÇÃO E PRESCRIÇÃO DE EXERCÍCIOS FÍSICOS;DEPARTAMENTO DE EDUCAÇÃO FÍSICA
BIBLIOTECONOMIA;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
BIOLOGIA MOLECULAR - DIAGNOSTICO MOLECULAR DE DOENCAS HUMANAS;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS
BIOMEDICINA;CENTRO DE BIOCIÊNCIAS
CIÊNCIA DA COMPUTAÇÃO;CENTRO DE CIÊNCIAS EXATAS E DA TERRA
CIÊNCIAS ATUARIAIS;CENTRO DE CIÊNCIAS EXATAS E DA TERRA
CIÊNCIAS BIOLÓGICAS;CENTRO DE BIOCIÊNCIAS
CIÊNCIAS CONTÁBEIS;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
CIÊNCIAS ECONÔMICAS;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
CIÊNCIAS E TECNOLOGIA;ESCOLA DE CIÊNCIAS E TECNOLOGIA
CIÊNCIAS SOCIAIS;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
CLINICA MEDICA;COREME - CLÍNICA MÉDICA
COMUNICAÇÃO E EDUCAÇÃO;DEPARTAMENTO DE COMUNICAÇÃO SOCIAL
COMUNICAÇÃO SOCIAL;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
COMUNICAÇÃO SOCIAL - AUDIOVISUAL;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
CONTABILIDADE E GESTÃO EMPRESARIAL;DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC
CURSO DE APERFEIÇOAMENTO EM ENDOCRINOLOGIA PEDIÁTRICA;DEPARTAMENTO DE PEDIATRIA
CURSO DE APERFEIÇOAMENTO SOBRE GESTÃO DA POLÍTICA EM DST, AIDS, HEPATITES VIRAIS;NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA
CURSO DE CONVERSAÇÃO EM LÍNGUA ALEMÃ;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE CONVERSAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE CONVERSAÇÃO EM LÍNGUA ESPANHOLA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE CONVERSAÇÃO EM LÍNGUA FRANCESA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE CONVERSAÇÃO EM LÍNGUA INGLESA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
Curso de Conversação em Língua Japonesa;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE CONVERSAÇÃO EM LÍNGUA PORTUGUESA PARA ESTRANGEIROS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE ESPECIALIZAÇÃO DE GESTÃO EM SAÚDE MODALIDADE A DISTÂNCIA;ESCOLA DE SAÚDE
CURSO DE  ESPECIALIZAÇÃO EM ADMINISTRAÇÃO PÚBLICA;FUNPEC/PPGAD
CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS;DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
CURSO DE ESPECIALIZAÇÃO EM AUDITORIA E CONTROLE INTERNO;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
CURSO DE ESPECIALIZAÇÃO EM AUDITORIA E PERÍCIA;CERES - SECRETARIA DO DCEA
CURSO DE ESPECIALIZAÇÃO EM CIÊNCIAS MORFOLÓGICAS - INTERDISCIPLINARIDADE NO ENSI;DEPARTAMENTO DE MORFOLOGIA
CURSO DE ESPECIALIZAÇÃO EM CONTROLADORIA PARA GESTÃO PÚBLICA E TERCEIRO SETOR;DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC
CURSO DE ESPECIALIZAÇÃO EM DIREITO CIVIL E PROCESSUAL CIVIL;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
CURSO DE ESPECIALIZAÇÃO EM DIREITO DA INCLUSÃO E COMBATE À DISCRIMINAÇÃO;DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO
CURSO DE ESPECIALIZAÇÃO EM EDUCAÇÃO E SUSTENTABILIDADE AMBIENTAL;DEPARTAMENTO DE EDUCAÇÃO
Curso de Especialização em Elaboração e Avaliação de Projetos Turísticos;PÓS-GRADUAÇÃO EM TURISMO
CURSO DE ESPECIALIZAÇÃO EM ENDODONTIA;DEPARTAMENTO DE ODONTOLOGIA
CURSO DE ESPECIALIZAÇÃO EM ENFERMAGEM OBSTÉTRICA III - REDE CEGONHA;ESCOLA DE SAÚDE
CURSO DE ESPECIALIZAÇÃO EM ENFERMAGEM OBSTÉTRICA - REDE CEGONHA III;ESCOLA DE SAÚDE
CURSO DE ESPECIALIZAÇÃO EM ENSINO DE EDUCAÇÃO FÍSICA;DEPARTAMENTO DE EDUCAÇÃO FÍSICA
CURSO DE ESPECIALIZAÇÃO EM EPIDEMIOLOGIA PARA SERVIÇOS HOSPITALARES;NESC - NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA (ADM. CENTRAL)
CURSO DE ESPECIALIZAÇÃO EM FINANÇAS E CONTROLADORIA PARA NEGÓCIOS EMPRESARIAIS;DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC
CURSO DE ESPECIALIZAÇÃO EM GEOPROCESAMENTO E CARTOGRAFIA DIGITAL;DEPARTAMENTO DE GEOGRAFIA/CCHLA
CURSO DE ESPECIALIZAÇÃO EM GEOPROCESSAMENTO E CARTOGRAFIA DIGITAL;DEPARTAMENTO DE GEOGRAFIA/CCHLA
CURSO DE ESPECIALIZAÇÃO EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE;DEPARTAMENTO DE ENGENHARIA PRODUÇÃO
CURSO DE ESPECIALIZAÇÃO EM GESTÃO DE HOSPITAIS PÚBLICOS;DEPARTAMENTO DE SAÚDE COLETIVA
CURSO DE ESPECIALIZAÇÃO EM GESTÃO DE HOSPITAIS PÚBLICOS;CENTRO DE CIÊNCIAS DA SAÚDE
Curso de Especialização em Gestão de Qualidade de Vida e Saúde no Trabalho;COORD. DO PROGRAMA DE POS-GRAD. EM ADMINISTRACAO
CURSO DE ESPECIALIZAÇÃO EM GESTÃO EM SAÚDE / MODALIDADE À DISTÂNCIA - UAB;ESCOLA DE SAÚDE
CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE NEGÓCIOS;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO
