curso;unidade
CURSO DE ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA EM MARKETING;DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
CURSO DE ESPECIALIZAÇÃO EM LIBRAS;DEPARTAMENTO DE LETRAS - CERES
CURSO DE ESPECIALIZAÇÃO EM LÍNGUA PORTUGUESA E ENSINO - CELPE;DEPARTAMENTO DE LETRAS
CURSO DE ESPECIALIZAÇÃO EM LÍNGUA PORTUGUESA: LEITURA, PRODUÇÃO DE TEXTOS E GRAM;DEPARTAMENTO DE LETRAS
CURSO DE ESPECIALIZAÇÃO EM MATEMÁTICA DO ENSINO FUNDAMENTAL;DEPARTAMENTO DE MATEMÁTICA
CURSO DE ESPECIALIZAÇÃO EM ORTODONTIA E ORTOPEDIA FACIAL;DEPARTAMENTO DE ODONTOLOGIA
CURSO DE ESPECIALIZAÇÃO EM PSICOPEDAGOGIA;DEPARTAMENTO DE PSICOLOGIA
CURSO DE ESPECIALIZAÇÃO EM QUALIDADE DE VIDA E SAÚDE NO TRABALHO;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
CURSO DE ESPECIALIZAÇÃO EM VIGILÂNCIA EPIDEMIOLÓGICA DAS DOENÇAS TRANSMISSÍVEIS;PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM
CURSO DE ESPECIALIZAÇÃO TÉCNICA EM INSTRUMENTAÇÃO CIRÚRGICA;ESCOLA DE SAÚDE
CURSO DE ESPECILIZAÇÃO EM PERFORMANCE ORQUESTRAL EM REGÊNCIA E VIOLONCELO;ESCOLA DE MÚSICA
Curso de férias - Noções Básicas de Implantodontia;DEPARTAMENTO DE ODONTOLOGIA
CURSO DE FORMAÇÃO DE PROGRAMADORES DA METRÓPOLE DIGITAL;DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
CURSO DE FORMAÇÃO INICIAL E CONTINUADA EM CANTO CORAL - PROEJA;ESCOLA DE MÚSICA
CURSO DE FORMAÇÃO INICIAL E CONTINUADA EM VIOLÃO POPULAR - PROEJA;ESCOLA DE MÚSICA
CURSO DE INICIAÇÃO ARTÍSTICA - CIART;ESCOLA DE MÚSICA
CURSO DE LÍNGUA ALEMÃ - BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA ALEMÃ PARA FINS ACADÊMICOS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA BRASILEIRA DE SINAIS (LIBRAS);INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA E CULTURA HEBRAICA - BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA ESPANHOLA - BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA ESPANHOLA PARA FINS ACADÊMICOS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA FRANCESA  BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA FRANCESA PARA FINS ACADÊMICOS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA GREGA CLÁSSICA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA GREGA MODERNA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA INGLESA  BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA INGLESA PARA FINS ACADÊMICOS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA INGLESA  SINFO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA JAPONESA - BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA JAPONESA PARA FINS ACADÊMICOS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA LATINA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE LÍNGUA PORTUGUESA PARA ESTRANGEIROS COM FINS ACADÊMICOS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE PLURILINGUISMO E INTERCULTURALIDADE: FRANCÊS, ESPANHOL, ITALI;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE PORTUGUÊS COMO LÍNGUA DE ACOLHIMENTO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE PORTUGUÊS LÍNGUA ESTRANGEIRA - AVANÇADO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE PORTUGUÊS LÍNGUA ESTRANGEIRA - BÁSICO;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM GESTÃO MUNICIPAL - MODALIDADE A DISTÂNCIA;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM GESTÃO PÚBLICA MUNICIPAL DISTÂNCIA;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM GESTÃO PÚBLICA MUNICIPAL - EAD;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
CURSO DE PRÁTICA DE LEITURA E ESCRITA DO PORTUGUÊS PARA ESTRANGEIROS;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO DE PRONÚNCIA EM LÍNGUA INGLESA;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO EM LITERATURA INFANTIL NEGRA NA ESCOLA;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
CURSO ESPECIALIZAÇÃO EM SAÚDE COLETIVA;PROG. POS-GRADUACAO EM ODONTOLOGIA SOCIAL
CURSO PREPARATÓRIO CELPE-BRAS AVANÇADO (PCB-A);INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO PREPARATÓRIO CELPE-BRAS [PCB];INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
CURSO TÉCNICO DA METRÓPOLE DIGITAL;ESCOLA AGRÍCOLA DE JUNDIAÍ
